Анализ характеристик крылатого объекта
Время расчета: 2025-10-26 22:54:32

Параметры расчета:
Масса_кг,2400
Размах_крыла_м,3.0
Хорда_м,0.6
Площадь_крыла_м2,1.7999999999999998
Удлинение_крыла,5.0
Тяга_на_уровне_моря_кгс,450
Удельный_расход_топлива_кг_кгс_ч,0.71
Угол_стреловидности_град,8
Угол_атаки_град,10
Коэффициент_Освальда,0.85
Диапазон_высот_м,100 - 990
Диапазон_скоростей_мс,190.0 - 220.0
Диапазон_CD0,0.100 - 0.340
Оптимальная_высота_для_графиков_м,990

Результаты расчетов:
Высота_м,Скорость_мс,Число_Маха,Коэф_подъемной_силы_CL,Коэф_сопротивления_CD,CD0,Подъемная_сила_Н,Сопротивление_Н,Требуемая_тяга_Н,Требуемая_тяга_кгс,Доступная_тяга_кгс,Доступная_тяга_Н,Расход_топлива_кгч,Требуемая_тяговооруженность,Доступная_тяговооруженность,Число_Рейнольдса,Плотность_воздуха_кгм3,Скорость_звука_мс,Температура_K,Давление_Па,Вес_Н,Удлинение_крыла,Площадь_крыла_м2,Возможность_полета
250,194.28571428571428,0.5725464979103767,0.7931282259644241,0.1471137864422461,0.1,32221.32078102193,5976.587831686863,5976.587831686863,609.4423510257695,366.47500747188354,3593.8921320241466,260.1972553050373,0.2539542422395338,0.15270990384177352,7825192.204418936,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,194.28571428571428,0.5725464979103767,0.7931282259644241,0.22711378644224609,0.18,32221.32078102193,9226.636913406692,9226.636913406692,940.8551251861433,366.47500747188354,3593.8921320241466,260.1972553050373,0.39205373563499796,0.15270990384177352,7825192.204418936,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,194.28571428571428,0.5725464979103767,0.7931282259644241,0.30711378644224613,0.26,32221.32078102193,12476.685995126523,12476.685995126523,1272.2678993465174,366.47500747188354,3593.8921320241466,260.1972553050373,0.5301532290304622,0.15270990384177352,7825192.204418936,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,194.28571428571428,0.5725464979103767,0.7931282259644241,0.3871137864422461,0.33999999999999997,32221.32078102193,15726.735076846351,15726.735076846351,1603.680673506891,366.47500747188354,3593.8921320241466,260.1972553050373,0.6682527224259265,0.15270990384177352,7825192.204418936,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,196.42857142857142,0.5788613489902706,0.7970357449385677,0.1475791626775397,0.1,33098.27126929389,6128.476910872984,6128.476910872984,624.9307266878072,365.6367554681451,3585.671688011685,259.602096382383,0.2604082385825081,0.15236060476195595,7911499.4713794375,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,196.42857142857142,0.5788613489902706,0.7970357449385677,0.2275791626775397,0.18,33098.27126929389,9450.613613471682,9450.613613471682,963.6943924246998,365.6367554681451,3585.671688011685,259.602096382383,0.4015708438489438,0.15236060476195595,7911499.4713794375,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,196.42857142857142,0.5788613489902706,0.7970357449385677,0.3075791626775397,0.26,33098.27126929389,12772.750316070382,12772.750316070382,1302.4580581615926,365.6367554681451,3585.671688011685,259.602096382383,0.5427334491153796,0.15236060476195595,7911499.4713794375,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,196.42857142857142,0.5788613489902706,0.7970357449385677,0.38757916267753967,0.33999999999999997,33098.27126929389,16094.88701866908,16094.88701866908,1641.2217238984854,365.6367554681451,3585.671688011685,259.602096382383,0.6838960543818153,0.15236060476195595,7911499.4713794375,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,198.57142857142858,0.5851762000701646,0.8010633144053035,0.14806123026598952,0.1,33995.27507431158,6283.376307739174,6283.376307739174,640.7260693243028,364.7985034644067,3577.4512439992236,259.0069374597287,0.2669901478696023,0.15201130568213836,7997806.738339941,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,198.57142857142858,0.5851762000701646,0.8010633144053035,0.2280612302659895,0.18,33995.27507431158,9678.39135466331,9678.39135466331,986.9212579895592,364.7985034644067,3577.4512439992236,259.0069374597287,0.4112494640403292,0.15201130568213836,7997806.738339941,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,198.57142857142858,0.5851762000701646,0.8010633144053035,0.3080612302659895,0.26,33995.27507431158,13073.406401587448,13073.406401587448,1333.1164466548157,364.7985034644067,3577.4512439992236,259.0069374597287,0.5555087802110561,0.15201130568213836,7997806.738339941,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,198.57142857142858,0.5851762000701646,0.8010633144053035,0.3880612302659895,0.33999999999999997,33995.27507431158,16468.421448511584,16468.421448511584,1679.3116353200721,364.7985034644067,3577.4512439992236,259.0069374597287,0.6997680963817831,0.15201130568213836,7997806.738339941,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,200.71428571428572,0.5914910511500584,0.8052151923464625,0.1485607200647232,0.1,34912.96433255219,6441.377621954077,6441.377621954077,656.8377195019784,363.96025146066825,3569.230799986762,258.41177853707444,0.2737038623090622,0.1516620066023208,8084114.005300445,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,200.71428571428572,0.5914910511500584,0.8052151923464625,0.2285607200647232,0.18,34912.96433255219,9910.061736650221,9910.061736650221,1010.5450624474435,363.96025146066825,3569.230799986762,258.41177853707444,0.42109348841739985,0.1516620066023208,8084114.005300445,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,200.71428571428572,0.5914910511500584,0.8052151923464625,0.30856072006472324,0.26,34912.96433255219,13378.745851346366,13378.745851346366,1364.2524053929085,363.96025146066825,3569.230799986762,258.41177853707444,0.5684831145257375,0.1516620066023208,8084114.005300445,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,200.71428571428572,0.5914910511500584,0.8052151923464625,0.3885607200647232,0.33999999999999997,34912.96433255219,16847.42996604251,16847.42996604251,1717.9597483383734,363.96025146066825,3569.230799986762,258.41177853707444,0.7158727406340751,0.1516620066023208,8084114.005300445,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,202.85714285714286,0.5978059022299522,0.8094958810965874,0.14907840994101174,0.1,35852.0049746305,6602.578246074401,6602.578246074401,673.2756084977441,363.12199945692987,3561.010355974301,257.8166196144202,0.2805535202576951,0.15131270752250323,8170421.272260948,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,202.85714285714286,0.5978059022299522,0.8094958810965874,0.22907840994101172,0.18,35852.0049746305,10145.72215198912,10145.72215198912,1034.5757370752624,363.12199945692987,3561.010355974301,257.8166196144202,0.43110705533696314,0.15131270752250323,8170421.272260948,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,202.85714285714286,0.5978059022299522,0.8094958810965874,0.3090784099410117,0.26,35852.0049746305,13688.86605790384,13688.86605790384,1395.8758656527807,363.12199945692987,3561.010355974301,257.8166196144202,0.5816605904162312,0.15131270752250323,8170421.272260948,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,202.85714285714286,0.5978059022299522,0.8094958810965874,0.38907840994101167,0.33999999999999997,35852.0049746305,17232.009963818557,17232.009963818557,1757.1759942302986,363.12199945692987,3561.010355974301,257.8166196144202,0.732214125495499,0.15131270752250323,8170421.272260948,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,205.0,0.604120753309846,0.8139101445277679,0.14961512848161512,0.1,36813.09907265783,6767.081826652697,6767.081826652697,690.050305318605,362.28374745319144,3552.7899119618396,257.2214606917659,0.2875435258140361,0.15096340844268563,8256728.53922145,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,205.0,0.604120753309846,0.8139101445277679,0.2296151284816151,0.18,36813.09907265783,10385.47624723256,10385.47624723256,1059.0238508800212,362.28374745319144,3552.7899119618396,257.2214606917659,0.44129456889755403,0.15096340844268563,8256728.53922145,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,205.0,0.604120753309846,0.8139101445277679,0.30961512848161515,0.26,36813.09907265783,14003.870667812427,14003.870667812427,1427.997396441438,362.28374745319144,3552.7899119618396,257.2214606917659,0.5950456119810722,0.15096340844268563,8256728.53922145,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,205.0,0.604120753309846,0.8139101445277679,0.3896151284816151,0.33999999999999997,36813.09907265783,17622.26508839229,17622.26508839229,1796.9709420028544,362.28374745319144,3552.7899119618396,257.2214606917659,0.7487966550645901,0.15096340844268563,8256728.53922145,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,207.14285714285714,0.6104356043897399,0.8184630267804466,0.15017175906480643,0.1,37796.98739322903,6934.998770218264,6934.998770218264,707.1730682973558,361.445495449453,3544.569467949378,256.62630176911165,0.2946785703182405,0.15061410936286806,8343035.806181951,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,207.14285714285714,0.6104356043897399,0.8184630267804466,0.2301717590648064,0.18,37796.98739322903,10629.434428909843,10629.434428909843,1083.9006621945152,361.445495449453,3544.569467949378,256.62630176911165,0.4516607204393281,0.15061410936286806,8343035.806181951,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,207.14285714285714,0.6104356043897399,0.8184630267804466,0.31017175906480643,0.26,37796.98739322903,14323.87008760142,14323.87008760142,1460.6282560916748,361.445495449453,3544.569467949378,256.62630176911165,0.6086428705604157,0.15061410936286806,8343035.806181951,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,207.14285714285714,0.6104356043897399,0.8184630267804466,0.3901717590648064,0.33999999999999997,37796.98739322903,18018.305746292997,18018.305746292997,1837.355849988834,361.445495449453,3544.569467949378,256.62630176911165,0.7656250206815032,0.15061410936286806,8343035.806181951,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,209.28571428571428,0.6167504554696338,0.8231598727043947,0.15074924433679154,0.1,38804.4521777385,7106.446799305956,7106.446799305956,724.6559017917389,360.60724344571463,3536.349023936917,256.0311428464574,0.3019636559785875,0.1502648102830505,8429343.073142456,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,209.28571428571428,0.6167504554696338,0.8231598727043947,0.23074924433679153,0.18,38804.4521777385,10877.714419555816,10877.714419555816,1109.218175376486,360.60724344571463,3536.349023936917,256.0311428464574,0.46221051217056425,0.1502648102830505,8429343.073142456,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,209.28571428571428,0.6167504554696338,0.8231598727043947,0.3107492443367916,0.26,38804.4521777385,14648.982039805676,14648.982039805676,1493.780448961233,360.60724344571463,3536.349023936917,256.0311428464574,0.6224573683625411,0.1502648102830505,8429343.073142456,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,209.28571428571428,0.6167504554696338,0.8231598727043947,0.39074924433679153,0.33999999999999997,38804.4521777385,18420.249660055535,18420.249660055535,1878.3427225459802,360.60724344571463,3536.349023936917,256.0311428464574,0.7827042245545177,0.1502648102830505,8429343.073142456,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,211.42857142857142,0.6230653065495276,0.8280063501947057,0.15134859113984386,0.1,39836.32017442175,7281.551564401302,7281.551564401302,742.5116185854805,359.7689914419762,3528.1285799244556,255.4359839238031,0.3094041218739526,0.1499155112032329,8515650.34010296,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,211.42857142857142,0.6230653065495276,0.8280063501947057,0.23134859113984385,0.18,39836.32017442175,11130.441869656013,11130.441869656013,1134.9892032096602,359.7689914419762,3528.1285799244556,255.4359839238031,0.4729492831701382,0.1499155112032329,8515650.34010296,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,211.42857142857142,0.6230653065495276,0.8280063501947057,0.31134859113984387,0.26,39836.32017442175,14979.332174910725,14979.332174910725,1527.4667878338398,359.7689914419762,3528.1285799244556,255.4359839238031,0.6364944444663237,0.1499155112032329,8515650.34010296,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,211.42857142857142,0.6230653065495276,0.8280063501947057,0.3913485911398438,0.33999999999999997,39836.32017442175,18828.222480165434,18828.222480165434,1919.9443724580192,359.7689914419762,3528.1285799244556,255.4359839238031,0.8000396057625092,0.1499155112032329,8515650.34010296,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,213.57142857142856,0.6293801576294215,0.8330084746312617,0.1519708759459278,0.1,40893.465949600424,7460.447318470202,7460.447318470202,760.7539086711774,358.93073943823777,3519.908135911994,254.8408250011488,0.31700567261559287,0.14956621212341534,8601957.607063461,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,213.57142857142856,0.6293801576294215,0.8330084746312617,0.2319708759459278,0.18,40893.465949600424,11387.751032176333,11387.751032176333,1161.2274356866344,358.93073943823777,3519.908135911994,254.8408250011488,0.4838827380493068,0.14956621212341534,8601957.607063461,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,213.57142857142856,0.6293801576294215,0.8330084746312617,0.3119708759459278,0.26,40893.465949600424,15315.054745882466,15315.054745882466,1561.7009627020916,358.93073943823777,3519.908135911994,254.8408250011488,0.6507598034830209,0.14956621212341534,8601957.607063461,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,213.57142857142856,0.6293801576294215,0.8330084746312617,0.3919708759459278,0.33999999999999997,40893.465949600424,19242.358459588595,19242.358459588595,1962.1744897175483,358.93073943823777,3519.908135911994,254.8408250011488,0.8176368689167348,0.14956621212341534,8601957.607063461,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,215.71428571428572,0.6356950087093154,0.8381726356572095,0.1526172508570504,0.1,41976.8155091412,7643.277661666313,7643.277661666313,779.3974151893168,358.0924874344994,3511.687691899533,254.24566607849457,0.3247744099908884,0.14921691304359777,8688264.874023965,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
250,215.71428571428572,0.6356950087093154,0.8381726356572095,0.23261725085705037,0.18,41976.8155091412,11649.785507270433,11649.785507270433,1187.947515947896,358.0924874344994,3511.687691899533,254.24566607849457,0.4950169785954504,0.14921691304359777,8688264.874023965,1.1958471877122958,339.3361325146498,286.525,98357.58626350584,23534.112992094255,5.0,1.7999999999999998,False
